City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Klaksvik,FO,62.2266,-6.589,10.51,86,100,5.39,overcast clouds
269,Santa Cruz,BO,-17.8,-63.1667,27.47,18,0,2.66,clear sky
270,Banjar,ID,-8.19,114.9675,24.92,92,31,2.53,scattered clouds
271,Cap Malheureux,MU,-19.9842,57.6142,18.04,72,0,0.89,clear sky
272,Saint Anthony,US,45.0205,-93.218,29.5,36,90,3.09,overcast clouds
273,Havoysund,NO,70.9963,24.6622,9.49,80,16,9.58,few clouds
274,Karasjok,NO,69.4719,25.5112,7.06,76,4,2.53,clear sky
275,Hof,DE,50.3167,11.9167,13.68,88,58,1.79,broken clouds
276,Aginskoye,RU,51.1,114.53,17.36,72,99,0.21,overcast clouds
277,Tunggol,PH,5.8446,121.1544,27.62,81,90,2.21,overcast clouds
278,Sitka,US,57.0531,-135.33,16.94,72,90,4.63,overcast clouds
279,Hofn,IS,64.2539,-15.2082,12.02,86,88,4.09,overcast clouds
280,Neuenrade,DE,51.2833,7.7833,13.73,49,13,1.03,few clouds
281,Beloha,MG,-25.1667,45.05,17.4,82,0,2.0,clear sky
282,Saldanha,ZA,-33.0117,17.9442,13.9,74,0,2.75,clear sky
283,Athikia,GR,37.8167,22.9333,29.51,39,4,1.35,clear sky
284,Issenye,TZ,-2.0,34.3333,19.06,56,34,1.44,scattered clouds
285,Krasnoyarskiy,RU,51.965,59.8967,20.93,44,7,2.87,clear sky
286,Geraldton,AU,-28.7667,114.6,7.23,87,2,4.12,clear sky
287,Adrar,MR,20.5022,-10.0711,36.64,27,3,3.83,clear sky
288,Fairbanks,US,64.8378,-147.7164,28.94,50,1,2.57,clear sky
289,Fortuna,US,40.5982,-124.1573,34.15,72,20,2.24,few clouds
290,Makinsk,KZ,52.6292,70.4169,18.14,53,30,2.29,scattered clouds
291,Nikolskoye,RU,59.7035,30.7861,17.44,99,100,2.38,moderate rain
292,Bengkulu,ID,-3.8004,102.2655,23.96,89,50,1.59,scattered clouds
293,Saryg-Sep,RU,51.5,95.6,9.16,87,0,1.56,clear sky
294,Montbrison,FR,45.6667,4.0833,16.92,84,51,1.03,broken clouds
295,Gunnedah,AU,-30.9833,150.25,14.79,88,65,1.79,broken clouds
296,General Roca,AR,-39.0333,-67.5833,19.22,21,66,4.34,broken clouds
297,Arman,RU,59.7,150.1667,10.29,56,0,4.56,clear sky
298,Merauke,ID,-8.4667,140.3333,22.57,83,74,4.95,broken clouds
299,Kununurra,AU,-15.7667,128.7333,22.99,49,77,2.57,broken clouds
300,La Ronge,CA,55.1001,-105.2842,28.4,26,100,1.11,overcast clouds
301,Touros,BR,-5.1989,-35.4608,24.5,78,31,7.78,scattered clouds
302,Llanes,ES,43.4198,-4.7549,19.45,80,58,1.51,broken clouds
303,Ouargaye,BF,11.5033,0.0572,27.52,62,100,3.63,overcast clouds
304,Guiratinga,BR,-16.3494,-53.7583,29.07,23,0,2.08,clear sky
305,Grindavik,IS,63.8424,-22.4338,12.17,87,75,4.12,broken clouds
306,Gus-Zheleznyy,RU,55.0581,41.1656,22.36,62,54,3.38,broken clouds
307,Dingle,PH,10.9995,122.6711,26.11,85,100,4.42,light rain
308,Kapoeta,SS,4.7717,33.5903,22.99,60,60,2.76,broken clouds
309,Belyy Yar,RU,53.6039,91.3903,18.94,72,0,1.0,clear sky
