City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Constantine,DZ,24.05,scattered clouds,36.365,6.6147,Grand Hotel Cirta
190,Misratah,LY,29.86,clear sky,32.3754,15.0925,فندق الماسة
191,Liverpool,GB,15.38,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
192,Iwanai,JP,23.27,overcast clouds,42.9744,140.5089,いわない高原ホテル
194,Sapele,NG,24.44,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
195,Cabadiangan,PH,26.23,light rain,9.7531,122.4739,Kipot
196,Azad Shahr,IR,21.12,broken clouds,34.7909,48.5707,مزارحاج علی ربانی
197,Ziyang,CN,24.46,clear sky,29.2497,117.8547,Wuyuan Great Wall Hotel
198,Mahibadhoo,MV,27.97,overcast clouds,3.7833,72.9667,Omadhoo Inn
200,Eura,FI,15.41,overcast clouds,61.1333,22.1333,Ahlströmin Ruukki Kauttua
202,Rameswaram,IN,28.75,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
207,Shelburne,CA,23.71,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
209,Noyabrsk,RU,15.69,overcast clouds,63.1994,75.4507,Hotel Uyutnaya
214,Waingapu,ID,23.63,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
215,Thompson,CA,26.58,broken clouds,55.7435,-97.8558,Burntwood Hotel
216,Mannarakkat,IN,25.75,broken clouds,10.9833,76.4667,The Park Residency
219,Faanui,PF,26.36,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
220,Sirur,IN,22.66,overcast clouds,18.8333,74.3833,Hindustan Petroleum
222,Mogadishu,SO,24.48,broken clouds,2.0371,45.3438,Hotel Juba
226,Ushtobe,KZ,23.98,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
227,Sal Rei,CV,25.31,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
229,Namibe,AO,20.83,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
231,Broome,US,23.63,clear sky,42.2506,-75.833,Chenango Valley State Park
232,Kavieng,PG,27.74,light rain,-2.5744,150.7967,Nusa Island Retreat
235,Mikkeli,FI,15.64,light intensity shower rain,61.6886,27.2723,"Original Sokos Hotel Vaakuna, Mikkeli"
236,Khatanga,RU,17.19,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
239,Asau,RO,21.09,light rain,46.4333,26.4,Casa Mika Ciobanus
241,Moose Factory,CA,21.99,broken clouds,51.2585,-80.6094,Moosonee Lilypad
246,Mikhaylovka,RU,26.43,scattered clouds,50.06,43.2379,5 Komnat
247,Bethel,US,27.07,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
249,Torrijos,ES,25.03,clear sky,39.9819,-4.2835,Hotel La Salve
250,Chapais,CA,17.85,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
251,La Estancia,MX,22.68,scattered clouds,20.4167,-100.0667,Fiesta Americana Hacienda Galindo Resort & Spa
253,Sechura,PE,24.71,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
257,Porto Novo,BJ,24.89,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
258,Saint-Joseph,RE,19.21,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
260,Bathsheba,BB,29.34,few clouds,13.2167,-59.5167,Atlantis Hotel
262,Najran,SA,26.67,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
263,Dezhou,CN,21.08,scattered clouds,37.4486,116.2925,Zhongtai International Hotel
264,Plouzane,FR,15.18,broken clouds,48.3833,-4.6167,Carrefour Voyages Plouzané
266,Xichang,CN,17.23,few clouds,27.8964,102.2634,Xichang ibis Hotel
269,Santa Cruz,BO,27.47,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
270,Banjar,ID,24.92,scattered clouds,-8.19,114.9675,The Hamsa Resort
271,Cap Malheureux,MU,18.04,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
272,Saint Anthony,US,29.5,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
276,Aginskoye,RU,17.36,overcast clouds,51.1,114.53,Кочевник
278,Sitka,US,16.94,overcast clouds,57.0531,-135.33,Westmark Sitka
283,Athikia,GR,29.51,clear sky,37.8167,22.9333,Pine tree Garden House
288,Fairbanks,US,28.94,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
290,Makinsk,KZ,18.14,scattered clouds,52.6292,70.4169,Bereke
291,Nikolskoye,RU,17.44,moderate rain,59.7035,30.7861,Tourist House - Sablino
292,Bengkulu,ID,23.96,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
294,Montbrison,FR,16.92,broken clouds,45.6667,4.0833,Hostellerie Del Matin Calme Hôtel à Montbrison
296,General Roca,AR,19.22,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
299,Kununurra,AU,22.99,broken clouds,-15.7667,128.7333,Hotel Kununurra
300,La Ronge,CA,28.4,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
301,Touros,BR,24.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
302,Llanes,ES,19.45,broken clouds,43.4198,-4.7549,Hotel La Paz
303,Ouargaye,BF,27.52,overcast clouds,11.5033,0.0572,Résidence le Cotonnier
304,Guiratinga,BR,29.07,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
307,Dingle,PH,26.11,light rain,10.9995,122.6711,SEGAYA PROPERTY
308,Kapoeta,SS,22.99,broken clouds,4.7717,33.5903,Eastgate Hotel
309,Belyy Yar,RU,18.94,clear sky,53.6039,91.3903,Pasportnyy Stol
310,Mayo,US,28.81,few clouds,38.8876,-76.5119,Resorts Resource Group International
313,Moree,AU,16.01,light rain,-29.4667,149.85,Molika Springs Motel
314,Caravelas,BR,19.82,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
315,Alyangula,AU,22.5,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
317,Lucapa,AO,20.81,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
320,Shimoda,JP,26.17,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
323,Chivilcoy,AR,15.57,clear sky,-34.8957,-60.0167,Chivilrent
325,Scalea,IT,27.41,clear sky,39.813,15.7956,Grand Hotel de Rose
327,Balti,MD,21.22,light rain,47.7617,27.9289,Apartment in Balti
328,The Valley,AI,29.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
331,Wamba,NG,21.73,light rain,8.9333,8.6,Roma Zee Guest House Annex
332,Lagoa,PT,22.41,clear sky,39.05,-27.9833,Casa Das Faias
333,Yarada,IN,29.18,scattered clouds,17.65,83.2667,Jeevan
334,Sao Joao Da Barra,BR,21.05,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
